t,r0,r1,r2
0.0,-3.33932881345639e-12,0.00341883494847961,0.00341883494570625
0.01,1.77617963315905e-05,0.00343697214646791,0.00343889916369041
0.02,7.10873907634928e-05,0.00348126608986053,0.00350025407006757
0.03,0.000159853871144382,0.00356769956157756,0.00358605783567373
0.04,0.000283765388479541,0.00368829563862027,0.00370965682971001
0.05,0.000443707010708701,0.00384872232121554,0.00386818940425524
0.06,0.000638979996759572,0.0040378232293218,0.00406842865712528
0.07,0.000869794442052883,0.00426857869437799,0.00429932303292453
0.08,0.00113594530202612,0.00453926796370907,0.00456280167412995
0.09,0.00143856353115618,0.0048353044301882,0.00487315123629705
0.1,0.00177603609734437,0.00517199302905141,0.00521144148745985
0.11,0.00214856808817081,0.00554245649368806,0.00558111562146476
0.12,0.0025560434527728,0.00594882767812226,0.00598864121082862
0.13,0.00300173548830622,0.00639410436502796,0.0064374888476588
0.14,0.00347925823842753,0.00688071671994189,0.00690837191871174
0.15,0.00399364557436191,0.00739255300390696,0.00742508140943286
0.16,0.00454314656936222,0.00793759652965076,0.00797956322422621
0.17,0.00512428000722934,0.00851694874025795,0.0085587734822575
0.18,0.00574213937380028,0.00913496746882467,0.00917523411117499
0.19,0.00639598403237347,0.00978809672968217,0.00982803675200278
0.2,0.00708483312046806,0.0104761037782479,0.0105166204847906
0.21,0.00780834845288377,0.0111995411431271,0.0112386587132361
0.22,0.00856727282241664,0.0119579556948623,0.0119968330848447
0.23,0.00936046450980521,0.0127493976784375,0.0127916529545061
0.24,0.0101884526700778,0.0135784354633608,0.013617721273667
0.25,0.0110506463952742,0.014439264111412,0.0144796001074605
0.26,0.0119475411459127,0.0153353031372787,0.0153761058271046
0.27,0.012878449552528,0.0162656270723045,0.0163065625806693
0.28,0.0138439000250965,0.0172298390889373,0.0172720180333957
0.29,0.0148431775267314,0.0182286780757358,0.0182694550511907
0.3,0.0158764913908359,0.0192613104230418,0.0193021381981605
0.31,0.0169444314051902,0.0203286330581561,0.0203689606233796
0.32,0.0180453194546361,0.0214288390983056,0.0214692036148866
0.33,0.0191797717826862,0.022562612932198,0.0226030064213346
0.34,0.020347637910902,0.0237298035014749,0.0237702195886646
0.35,0.0215487592849899,0.024930252526744,0.0249706846700541
0.36,0.022782969831205,0.0261637951628685,0.0262042351660802
0.37,0.0240500952570285,0.0274302582963553,0.0274706964228574
0.38,0.0253499523607567,0.0287294594469672,0.0287698851029313
0.39,0.0266823488428004,0.0300612067315767,0.0301016090272041
0.4,0.0280470831160425,0.0314252989106445,0.0314656669128992
0.41,0.029443943902337,0.0328215251372751,0.0328618478675845
0.42,0.0308727098084135,0.0342496645861527,0.0342899309089161
0.43,0.0323331489478108,0.0357094860691021,0.0357496845659402
0.44,0.0338250185592694,0.0372007476190962,0.0372408664666868
0.45,0.0353480645760917,0.0387231960534015,0.038763222949525
0.46,0.0369020211843573,0.0402765665078196,0.0403164886239819
0.47,0.0384866103691732,0.0418605819658559,0.04190038592198
0.48,0.0401015414287024,0.0434749527702565,0.0435146246361782
0.49,0.0417465104996837,0.0451193761434136,0.0451589014359001
0.5,0.0434212000842284,0.0467935356966513,0.0468328993995415
0.51,0.0451252785471818,0.048497100944811,0.0485362875234209
0.52,0.0468583996336974,0.050229726793182,0.0502687202334975
0.53,0.0486202019613074,0.0519910530205699,0.0520298368830729
0.54,0.050410308495252,0.0537807037468043,0.0538192612122503
0.55,0.052228325989088,0.0555982868950677,0.0556366008194985
0.56,0.0540738444510752,0.0574433936266419,0.0574814465853337
0.57,0.0559464365623373,0.0593155978047105,0.0593533720906176
0.58,0.0578456571056728,0.0612144554275657,0.0612519330524246
0.59,0.0597710423924173,0.0631395040691529,0.063176666719288
0.6,0.0617221096897414,0.0650902623110074,0.0651270913127423
0.61,0.0636983566353096,0.0670662291689056,0.0671027054330751
0.62,0.0656992606816666,0.0690668834945816,0.0691029874952414
0.63,0.0677242784926765,0.0710916834090011,0.0711273951380203
0.64,0.0697728453785387,0.0731400656749763,0.0731753646463285
0.65,0.071844374703502,0.0752114451232088,0.0752463103654132
0.66,0.0739382573022423,0.0773052140279937,0.0773396241168029
0.67,0.0760538608876123,0.0794207415125142,0.0794546746100777
0.68,0.0781905294752647,0.0815573729474456,0.0815908068593836
0.69,0.0803475827926724,0.0837144293507522,0.0837473416129941
0.7,0.0825243157156065,0.0858912068091289,0.0859235747807965
0.71,0.084719997693982,0.0880869758891617,0.0881187768751123
0.72,0.0869338722048971,0.0903009810915778,0.090332192467731
0.73,0.0891651562038677,0.0925324403114646,0.092563039654269
0.74,0.0914130396147602,0.0947805443134946,0.0948105095379216
0.75,0.0936766848390012,0.0970444562446918,0.0970737657222206
0.76,0.0959552262626156,0.0993233112085194,0.0993519438486855
0.77,0.0982477698542341,0.101616215829526,0.10164415115064
0.78,0.100553392764301,0.103922247907491,0.103949466043998
0.79,0.102871143001944,0.106240456112248,0.106266937791018
0.8,0.105200039165194,0.108569859730908,0.108595586191633
0.81,0.10753907023898,0.110909448486205,0.110934401381013
0.82,0.10988719546528,0.113258182435796,0.113282343656674
0.83,0.112243344303248,0.11561499190923,0.115638343431993
0.84,0.114606416457338,0.117978777579017,0.118001301229937
0.85,0.116975282003504,0.120348410545441,0.12037008780497
0.86,0.119348781613767,0.122722732584996,0.122743544336846
0.87,0.121725726865706,0.125100556428813,0.125120482738647
0.88,0.124104900676064,0.127480666215569,0.127499686062848
0.89,0.126485057832063,0.129861817963723,0.129879909027933
0.9,0.128864925661054,0.13224274024577,0.132259878667299
