beta,e
1.64,-0.20741834
1.68,-0.20844074
1.72,-0.20941634
1.76,-0.21034822
1.8,-0.2112393
1.84,-0.21209211
1.88,-0.21290887
1.92,-0.21369186
1.96,-0.21444297
2.0,-0.21516394
2.04,-0.21585636
2.08,-0.21652115
2.12,-0.21716087
2.16,-0.21777604
2.2,-0.21836799
2.24,-0.21893794
2.28,-0.21948702
2.32,-0.22001625
2.36,-0.22052658
2.4,-0.22101891
2.44,-0.22149403
2.48,-0.22195268
2.52,-0.2223956
2.56,-0.22282354
2.6,-0.22323678
2.64,-0.22363661
2.68,-0.22402313
2.72,-0.22439695
2.76,-0.22475865
2.8,-0.22510876
2.84,-0.22544777
2.88,-0.22577619
2.92,-0.22609444
2.96,-0.22640295
3.0,-0.22670207
3.04,-0.22699217
3.08,-0.22727358
3.12,-0.2275467
3.16,-0.22781187
3.2,-0.22806935
3.24,-0.22831938
3.28,-0.22856258
3.32,-0.22879871
3.36,-0.22902801
3.4,-0.22925075
3.44,-0.22946719
3.48,-0.22967759
3.52,-0.22988221
3.56,-0.2300813
3.6,-0.23027507
3.64,-0.23046375
3.68,-0.23064753
3.72,-0.23082665
3.76,-0.23100129
3.8,-0.23117141
3.84,-0.23133719
3.88,-0.23149876
3.92,-0.23165576
3.96,-0.23180887
4.0,-0.23195764
4.04,-0.23210213
4.08,-0.23224242
4.12,-0.23237858
4.16,-0.23251069
4.2,-0.23263882
4.24,-0.23276305
4.28,-0.2328834
4.32,-0.23299986
4.36,-0.23311249
4.4,-0.2332213
4.44,-0.23332632
4.48,-0.23342749
4.52,-0.23352477
4.56,-0.23361809
4.6,-0.23370697
4.64,-0.2337917
4.68,-0.23387172
4.72,-0.233947
4.76,-0.23401738
4.8,-0.23408271
4.84,-0.23414289
4.88,-0.23419785
4.92,-0.23424746
4.96,-0.23429152
5.0,-0.23432985
5.04,-0.23436223
5.08,-0.23438844
5.12,-0.23440844
5.16,-0.23442202
5.2,-0.234429
