t,r0,r1,r2
0.0,5.195843755246e-14,1.26158754318466,1.26158761539775
0.01,1.97541834677729e-05,1.26164303606722,1.26164360312508
0.02,7.90161991348297e-05,1.26178903340447,1.26179643542762
0.03,0.000177784227379128,1.26199146637593,1.26201679056272
0.04,0.000316055038117803,1.26224064056699,1.26228620344283
0.05,0.000493824073538541,1.26253874683545,1.26260021227188
0.06,0.00071108544908109,1.26288943392104,1.26296019013884
0.07,0.000967831919648052,1.26329558422678,1.26336867834131
0.08,0.00126405482639997,1.26375928029739,1.26382794708138
0.09,0.00159974401546942,1.26428195144582,1.26433974793634
0.1,0.00197488758669367,1.26486451316765,1.26490536564178
0.11,0.00238947167223677,1.26550867071238,1.26552577928013
0.12,0.00284348191615221,1.26620188041358,1.2662155174945
0.13,0.00333690338989329,1.26693421342028,1.26697824011274
0.14,0.0038697168078159,1.2677231303575,1.26779820437171
0.15,0.00444190189179251,1.26856901065425,1.26868146099479
0.16,0.00505343730354061,1.26947217092582,1.26963079204142
0.17,0.00570429953342514,1.27043286443355,1.27064738669873
0.18,0.00639446236280098,1.27145129906878,1.271731892946
0.19,0.00712389679352817,1.27252765244622,1.27288457152741
0.2,0.00789257103391499,1.27366208459598,1.27410530279549
0.21,0.00870045058095959,1.27485474992538,1.27539359241179
0.22,0.00954749839085896,1.27610581702997,1.27674854623039
0.23,0.0104336749637657,1.27741547445624,1.27816883411469
0.24,0.0113589382556901,1.27878391621049,1.2796527999853
0.25,0.0123232432660716,1.28021134423503,1.28119886258422
0.26,0.0133265416088737,1.28169795684498,1.28280611225127
0.27,0.0143687810804589,1.28324396273882,1.28447473346137
0.28,0.0154499055540492,1.28484957457185,1.28620601362884
0.29,0.0165698547295012,1.28651501056314,1.28800190383993
0.3,0.0177285640233287,1.28824049502212,1.28986429845937
0.31,0.0189259643449562,1.2900262588767,1.2917943004765
0.32,0.0201619818887897,1.29187253873327,1.29379171093553
0.33,0.0214365378246605,1.29377957746792,1.29585487934921
0.34,0.022749548015911,1.29574762417769,1.29798091485253
0.35,0.0241009227777693,1.29777693592307,1.30016613889691
0.36,0.0254905665871449,1.29986777123611,1.3024066058556
0.37,0.0269183776766133,1.30202040223457,1.30469857255547
0.38,0.0283842477664847,1.30423510689359,1.30703880623193
0.39,0.0298880616879885,1.30651217195264,1.30942475808413
0.4,0.0314296970367032,1.30885189428291,1.31185458492753
0.41,0.0330090237856659,1.31125458390437,1.31432710376226
0.42,0.0346259039068231,1.31372056227191,1.31684167994731
0.43,0.0362801909443815,1.31625016861815,1.31939811681702
0.44,0.0379717295700969,1.31884376375025,1.32199654558257
0.45,0.0397003551934142,1.32150173176606,1.32463732533085
0.46,0.041465893438003,1.32422448655327,1.32732096531537
0.47,0.0432681597274608,1.32701247779539,1.33004806190673
0.48,0.0451069587448173,1.3298661993241,1.33281925229027
0.49,0.0469820839447025,1.33278620303206,1.33563518019089
0.5,0.0488933170172772,1.33577309173833,1.33849647090609
0.51,0.0508404273195114,1.33882755927215,1.34140371359673
0.52,0.0528231713197424,1.34195038887085,1.34435744912342
0.53,0.0548412920167304,1.34514247472795,1.34735816174814
0.54,0.0568945182978993,1.34840484244792,1.35040627406807
0.55,0.0589825643513838,1.35173867032236,1.35350214475693
0.56,0.0611051289846785,1.35514531229472,1.35664606485916
0.57,0.0632618949880301,1.35862631977901,1.35983826203576
0.58,0.065452528450596,1.36218345876626,1.36307889911771
0.59,0.0676766780459813,1.36581871860075,1.36636807709788
0.6,0.0699339743408701,1.36953430177689,1.36970583662507
0.61,0.0722240290524382,1.37309215560753,1.37333257949027
0.62,0.0745464343003227,1.37652697305364,1.37721601461283
0.63,0.0769007618598349,1.38001015218513,1.38118697858291
0.64,0.0792865623874901,1.38354151553903,1.38524749909203
0.65,0.0817033646288564,1.38712083077587,1.38939883410139
0.66,0.0841506746319645,1.39074781343263,1.39364094052519
0.67,0.0866279749373992,1.39442212680962,1.39797175409064
0.68,0.0891347237676795,1.39814338101839,1.40238641700172
0.69,0.0916703542126951,1.40191113166306,1.40687658463348
