m1,Delta_1,e
1.3,0.2,-0.3996957184724251
1.3,0.3,-0.39737119845369256
1.3,0.4,-0.3950884651808527
1.3,0.5,-0.3928507964884855
1.3,0.6,-0.39066064245717186
1.3,0.7,-0.38851975367686914
1.3,0.8,-0.38642929256180963
1.3,0.9,-0.38438992965123614
1.3,0.0,-0.4044519623120999
1.4,-0.1,-0.40169180502724944
1.4,-0.2,-0.40406659911691123
1.4,-0.3,-0.4064659299802062
1.4,-0.4,-0.4088815015194286
1.4,-0.5,-0.4113031625377122
1.4,-0.6,-0.41371854540464403
1.4,-0.7,-0.41611257522511774
1.4,-0.8,-0.4184667382657136
1.4,-0.9,-0.4207578632254504
1.4,0.1,-0.3970413942128142
1.4,0.2,-0.39477541980370406
1.4,0.3,-0.3925536353561822
1.4,0.4,-0.39037850571860155
1.4,0.5,-0.38825180263885894
1.4,0.6,-0.3861747148213925
1.4,0.7,-0.3841479429813928
1.4,0.8,-0.38217178173570865
1.4,0.9,-0.3802461899508667
1.4,0.0,-0.3993482734303006
1.5,-0.1,-0.3967351320751858
1.5,-0.2,-0.3990257905999702
1.5,-0.3,-0.4013522967599656
1.5,-0.4,-0.40370925744102737
1.5,-0.5,-0.40608993604878846
1.5,-0.6,-0.4084859993381445
1.5,-0.7,-0.41088719346463987
1.5,-0.8,-0.4132809004060047
1.5,-0.9,-0.4156514716366751
1.5,0.1,-0.392277420999566
1.5,0.2,-0.3901161405191158
1.5,0.3,-0.3880025267411696
1.5,0.4,-0.38593779143725354
1.5,0.5,-0.3839226618020234
1.5,0.6,-0.3819574614303832
1.5,0.7,-0.38004217983287414
1.5,0.8,-0.37817653196531315
1.5,0.9,-0.3763600090686145
1.5,0.0,-0.39448457769327017
1.0,-0.1,-0.4232423847384483
1.0,-0.2,-0.4255721924853125
1.0,-0.3,-0.42779259998215613
1.0,-0.4,-0.42986964321911625
1.0,-0.5,-0.43176262775993146
1.0,-0.6,-0.4334213210673482
1.0,-0.7,-0.43478028582612127
1.0,-0.8,-0.43574640332993214
1.0,-0.9,-0.43616865806673727
1.0,0.1,-0.4183653341461552
1.0,0.2,-0.41586340958726753
1.0,0.3,-0.41334382931674923
1.0,0.4,-0.41082148239053184
1.0,0.5,-0.40830882276248004
1.0,0.6,-0.40581617318133734
1.0,0.7,-0.40335199872844685
1.0,0.8,-0.40092315334983514
1.0,0.9,-0.3985351012695955
1.0,0.0,-0.4208319376130342
