m1,Delta_1,e
0.9,0.0,-0.058523169349344074
0.0,-0.1,-0.23091038011413062
0.0,-0.2,-0.23506304949137108
0.0,-0.3,-0.2388681632382856
0.0,-0.4,-0.24231240880462962
0.0,-0.5,-0.24537316391058103
0.0,-0.6,-0.24801340026794907
0.0,-0.7,-0.2501705071525782
0.0,-0.8,-0.2517267868927672
0.0,-0.9,-0.2523960686065867
0.0,0.1,-0.22158351954737843
0.0,0.2,-0.2164072663922991
0.0,0.3,-0.21088018918198442
0.0,0.4,-0.2049898173095915
0.0,0.5,-0.1987185110671957
0.0,0.6,-0.19204229384049012
0.0,0.7,-0.18492922199147901
0.0,0.8,-0.177336409792782
0.0,0.9,-0.16920533464047766
0.0,0.0,-0.22641677376936134
1.1,-0.1,-0.035215553653146416
1.1,-0.2,-0.04175927057456259
1.1,-0.3,-0.0485638728256708
1.1,-0.4,-0.05563174139777514
1.1,-0.5,-0.06296445744880365
1.1,-0.6,-0.07056358850740806
1.1,-0.7,-0.07843236789932069
1.1,-0.8,-0.08657910818545841
1.1,-0.9,-0.09502420670839172
1.1,0.1,-0.02289566102951518
1.1,0.2,-0.01710911853733687
1.1,0.3,-0.011562966116575353
1.1,0.4,-0.0062498221174985494
1.1,0.5,-0.0011617419891802538
1.1,0.6,0.003709613492663442
1.1,0.7,0.008372827830406118
1.1,0.8,0.012836598940974237
1.1,0.9,0.01710963014766226
1.1,0.0,-0.0289292329206222
1.2,-0.1,-0.021998224977848965
1.2,-0.2,-0.02797199972144284
1.2,-0.3,-0.0341964268173171
1.2,-0.4,-0.040677030853981576
1.2,-0.5,-0.04741867890872937
1.2,-0.6,-0.05442590609244661
1.2,-0.7,-0.06170370499043275
1.2,-0.8,-0.0692592056233474
1.2,-0.9,-0.07710513677175773
1.2,0.1,-0.010776890535431096
1.2,0.2,-0.005514838490514108
1.2,0.3,-0.0004746932179338127
1.2,0.4,0.004351853817535804
1.2,0.5,0.00897330281164439
1.2,0.6,0.013398233290104467
1.2,0.7,0.017635207919752826
1.2,0.8,0.02169269268843742
1.2,0.9,0.025578992558306295
1.2,0.0,-0.016268839976675064
1.3,-0.1,-0.010061182340741178
1.3,-0.2,-0.015505259136948108
1.3,-0.3,-0.021184509679540955
1.3,-0.4,-0.027106329123112793
1.3,-0.5,-0.03327771297599338
1.3,-0.6,-0.03970536712316837
1.3,-0.7,-0.04639605242557976
1.3,-0.8,-0.053357380595671654
1.3,-0.9,-0.06059949463801067
1.3,0.1,0.0001529079475843423
1.3,0.2,0.0049393590437304055
1.3,0.3,0.009523321595659918
1.3,0.4,0.013913297180832708
1.3,0.5,0.018117743881471436
1.3,0.6,0.022145006749329857
1.3,0.7,0.0260032608505105
1.3,0.8,0.029700466216174917
1.3,0.9,0.033244333542866086
1.3,0.0,-0.004844494928271495
1.4,-0.1,0.0007283791349934479
1.4,-0.2,-0.004230841732666791
1.4,-0.3,-0.00940722677083311
1.4,-0.4,-0.014809080695329425
1.4,-0.5,-0.020444556268493775
1.4,-0.6,-0.02632167481013662
1.4,-0.7,-0.0324484621858916
1.4,-0.8,-0.03883331042835238
1.4,-0.9,-0.045485778358235626
1.4,0.1,0.010029066584850874
1.4,0.2,0.014387474037842735
1.4,0.3,0.018562467179426834
1.4,0.4,0.022562300457595552
1.4,0.5,0.026395045908551615
1.4,0.6,0.0300685540614465
1.4,0.7,0.03359042383904683
1.4,0.8,0.03696798059202129
1.4,0.9,0.04020826122738661
1.4,0.0,0.005478856493965933
1.5,-0.1,0.010495636315071118
1.5,-0.2,0.005975870618208184
1.5,-0.3,0.0012576973079075754
1.5,-0.4,-0.0036674312812466723
1.5,-0.5,-0.008808103687640205
1.5,-0.6,-0.014172940105526848
1.5,-0.7,-0.019770638399636775
1.5,-0.8,-0.02561013137288267
1.5,-0.9,-0.03170096143958756
1.5,0.1,0.01897371714057659
1.5,0.2,0.022948580632178448
1.5,0.3,0.02675805200467488
1.5,0.4,0.03040989454519422
1.5,0.5,0.03391161505497468
1.5,0.6,0.037270445289877205
1.5,0.7,0.04049332943970882
1.5,0.8,0.043586916874473844
1.5,0.9,0.04655755934528849
1.5,0.0,0.014825466961202833
1.0,-0.1,-0.0498472586677404
1.0,-0.2,-0.0569900348795976
1.0,-0.3,-0.06439479990859119
1.0,-0.4,-0.07205929848486707
1.0,-0.5,-0.07998072195212116
1.0,-0.6,-0.08815739605667709
1.0,-0.7,-0.09659214037570676
1.0,-0.8,-0.1052989572515985
1.0,-0.9,-0.11431698346159208
1.0,0.1,-0.036349654588930906
1.0,0.2,-0.029991674845873173
1.0,0.3,-0.023889482737165495
1.0,0.4,-0.01803777748243749
1.0,0.5,-0.012430144606932635
1.0,0.6,-0.007059288595286037
1.0,0.7,-0.0019172521628364426
1.0,0.8,0.003004386168272511
1.0,0.9,0.007714339824875527
1.0,0.0,-0.042967378660672406
