spectrum
(0.999999937556247+5.55111514639024e-17j)
(1.60510173137414e-07+4.12434292523882e-11j)
(-3.57781958566289e-40+2.62588618113983e-40j)
(-2.05980026390211e-59-7.59877444484607e-60j)
