t,r0,r1,r2
0.0,-8.88178419700124e-16,15.6447707003901,15.6448372229969
0.01,2.49727785414362e-05,11.674173604813,13.5843324187879
0.02,9.9891080195372e-05,10.3034771436673,12.8972918739559
0.03,0.000224757328810723,9.49548817458164,12.4929822673154
0.04,0.000399575065287619,8.92115693753082,12.2057297997127
0.05,0.000624349207219465,8.47534887496436,11.9828135302568
0.06,0.000899086008080201,8.11096673583221,11.8006461029494
0.07,0.00122379306872699,7.8028235320649,11.6466205859063
0.08,0.00159847940414901,7.53586412048427,11.513203754342
0.09,0.00202315497957175,7.30036964500482,11.3955336467119
0.1,0.00249783069764082,7.08970062439437,11.2902892561199
0.11,0.00302253607033978,6.89911958544904,7.9766790362267
0.12,0.00359725642785395,6.72512759532077,8.04088968129364
0.13,0.00422201856776515,6.56506699953448,8.11052073863409
0.14,0.00489683802084835,6.23408196396936,6.41687165142486
0.15,0.00562173111794139,6.09635434458034,6.27890345320362
0.16,0.00639671489408555,5.96756433183993,6.14984172576153
0.17,0.0072218069842709,5.84659633806282,6.02860615809035
0.18,0.00809702551132364,5.73254312415283,5.9143018029189
0.19,0.00902238894736549,5.62465216295094,5.80617895725741
0.2,0.00999791598546987,5.52228994847412,5.70360334171495
0.21,0.0110236253704317,5.42491695345708,5.60603356051681
0.22,0.0120995357561699,5.33206932541483,5.51300380824523
0.23,0.0132256655152563,5.24334516361455,5.42411042272631
0.24,0.0144020325365439,5.15839412496462,5.33900130116905
0.25,0.0156286540097129,5.07690965897842,5.25736747766592
0.26,0.0169055462034359,4.99862335316248,5.17893635246862
0.27,0.0182327242132436,4.92330080796594,5.10346619589881
0.28,0.0196102018014505,4.85073770082191,5.03074162485944
0.29,0.0210379912973707,4.780753881342,4.96056962884391
0.3,0.0225161035776515,4.71318400672063,4.89277390838712
0.31,0.0240445464220102,4.6478668912262,4.82716864124686
0.32,0.025623241049261,4.58463507639413,4.76344114929592
0.33,0.0272522837118482,4.52335094954275,4.70165671525318
0.34,0.0289294997000925,4.46396070995552,4.64207871210263
0.35,0.0306589782506557,4.40626703457452,4.58417273319165
0.36,0.0324390383289352,4.35019409151323,4.52788368196344
0.37,0.0342694283423211,4.29566074426695,4.47313328570858
0.38,0.0361501194042566,4.24258754579447,4.41984173655415
0.39,0.0380691656382969,3.77613364946742,3.83083176660241
0.4,0.0400501353015758,3.7970020456389,3.86876561145792
0.41,0.0420813399832888,3.81594225171398,3.90639182282185
0.42,0.0441627402926719,3.83297722589752,3.94380155907745
0.43,0.0462942897147193,3.84813150665987,3.98108805805654
