beta,e
1.64,-0.40114831
1.68,-0.40348304
1.72,-0.40571782
1.76,-0.40783056
1.8,-0.40983152
1.84,-0.41172548
1.88,-0.41351391
1.92,-0.41520782
1.96,-0.41682611
2.0,-0.41836663
2.04,-0.41982708
2.08,-0.42120928
2.12,-0.42252212
2.16,-0.42377324
2.2,-0.42496361
2.24,-0.42609281
2.28,-0.42716111
2.32,-0.42817604
2.36,-0.42914484
2.4,-0.43006783
2.44,-0.43094439
2.48,-0.43177469
2.52,-0.43256479
2.56,-0.43331905
2.6,-0.4340393
2.64,-0.43472625
2.68,-0.43537865
2.72,-0.43599951
2.76,-0.4365923
2.8,-0.43715826
2.84,-0.43769699
2.88,-0.43820908
2.92,-0.43869729
2.96,-0.43916408
3.0,-0.43961097
3.04,-0.44003666
3.08,-0.44044096
3.12,-0.44082565
3.16,-0.44119569
3.2,-0.44155223
3.24,-0.44189262
3.28,-0.44221599
3.32,-0.44252523
3.36,-0.44282234
3.4,-0.4431088
3.44,-0.44338192
3.48,-0.44364131
3.52,-0.44388807
3.56,-0.44412292
3.6,-0.44434631
3.64,-0.44455869
3.68,-0.44476043
3.72,-0.44495224
3.76,-0.44513468
3.8,-0.44530832
3.84,-0.44547337
3.88,-0.44563022
3.92,-0.44577942
3.96,-0.44592136
4.0,-0.44605629
4.04,-0.44618442
4.08,-0.44630586
4.12,-0.44642107
4.16,-0.44653067
4.2,-0.44663481
4.24,-0.44673346
4.28,-0.4468267
4.32,-0.44691494
4.36,-0.44699858
4.4,-0.44707791
4.44,-0.44715286
4.48,-0.44722354
4.52,-0.44729029
4.56,-0.44735347
4.6,-0.44741323
4.64,-0.4474696
4.68,-0.44752271
4.72,-0.44757279
4.76,-0.44762003
4.8,-0.44766457
4.84,-0.4477065
4.88,-0.44774594
4.92,-0.44778305
4.96,-0.44781804
5.0,-0.44785107
5.04,-0.44788219
5.08,-0.44791144
5.12,-0.447939
5.16,-0.44796494
5.2,-0.44798943
5.24,-0.44801251
5.28,-0.44803419
5.32,-0.44805461
5.36,-0.44807384
5.4,-0.44809198
5.44,-0.44810905
5.48,-0.4481251
5.52,-0.44814021
5.56,-0.44815449
5.6,-0.44816802
5.64,-0.44818077
5.68,-0.44819277
5.72,-0.44820407
5.76,-0.44821472
5.8,-0.44822479
5.84,-0.44823427
5.88,-0.44824318
5.92,-0.44825158
5.96,-0.44825952
6.0,-0.44826703
6.04,-0.4482741
6.08,-0.44828075
6.12,-0.448287
6.16,-0.44829291
6.2,-0.44829852
6.24,-0.4483038
6.28,-0.44830877
6.32,-0.44831345
6.36,-0.44831787
6.4,-0.44832206
6.44,-0.44832602
6.48,-0.44832975
6.52,-0.44833328
6.56,-0.44833663
6.6,-0.44833984
6.64,-0.44834288
6.68,-0.44834576
6.72,-0.44834848
6.76,-0.44835104
6.8,-0.44835349
6.84,-0.44835582
6.88,-0.44835802
6.92,-0.4483601
6.96,-0.4483621
7.0,-0.448364
7.04,-0.44836581
7.08,-0.44836751
7.12,-0.44836912
7.16,-0.44837067
7.2,-0.44837214
7.24,-0.44837355
7.28,-0.44837487
7.32,-0.44837611
7.36,-0.4483773
7.4,-0.44837842
7.44,-0.44837949
7.48,-0.44838049
7.52,-0.44838144
7.56,-0.44838235
7.6,-0.44838321
7.64,-0.44838403
7.68,-0.44838481
7.72,-0.44838555
7.76,-0.44838626
7.8,-0.44838693
7.84,-0.44838756
7.88,-0.44838816
7.92,-0.44838873
7.96,-0.44838927
8.0,-0.44838978
8.04,-0.44839026
8.08,-0.44839072
8.12,-0.44839116
8.16,-0.44839158
8.2,-0.44839198
8.24,-0.44839236
8.28,-0.44839273
8.32,-0.44839307
8.36,-0.4483934
8.4,-0.44839372
8.44,-0.44839402
8.48,-0.44839431
8.52,-0.44839459
8.56,-0.44839486
8.6,-0.44839512
8.64,-0.44839536
8.68,-0.4483956
8.72,-0.44839582
8.76,-0.44839603
8.8,-0.44839623
8.84,-0.44839642
8.88,-0.4483966
8.92,-0.44839678
8.96,-0.44839694
9.0,-0.4483971
9.04,-0.44839724
9.08,-0.44839738
9.12,-0.44839752
9.16,-0.44839764
9.2,-0.44839776
9.24,-0.44839787
9.28,-0.44839798
9.32,-0.44839808
9.36,-0.44839818
9.4,-0.44839827
9.44,-0.44839836
9.48,-0.44839845
9.52,-0.44839853
9.56,-0.44839861
9.6,-0.44839869
9.64,-0.44839877
9.68,-0.44839885
9.72,-0.44839892
9.76,-0.44839898
9.8,-0.44839905
9.84,-0.44839911
9.88,-0.44839917
9.92,-0.44839922
9.96,-0.44839928
10.0,-0.44839933
